Nama Hakim,Terdakwa,Jumlah Perkara
ERICK IGNATIUS CHRISTOFFEL,10,10
HOTMA EDISON PARLINDUNGAN SIPAHUTAR,10,8
AHMAD SHUHEL NADJIR,10,6
NIKO HENDRA SARAGIH,10,7
H.TEGUH HARISSA,10,3
HENDRA KUSUMA WARDANA,10,7
"I GEDE KARANG ANGGAYASA,",10,10
ZAMZAM ILMI,10,7
BOEDI HARYANTHO,10,9
AGUS WALUJO TJAHJONO,10,10
HARIS BUDIARSO,10,8
SAUT MARULI TUA PASARIBU,10,9
ANISA PRIMADONA DUSWARA,10,4
TEGUH INDRASTO,10,8
SLAMET BUDIONO,10,9
FATIMAH,10,7
DANIEL RONALD,10,7
ABDUL WAHAB,10,7
PAISOL,10,7
ERMA SUHARTI,9,9
EVA MEITA THEODORA PASARIBU,9,7
AS'AD RAHIM LUBIS,9,7
M. AUNUR ROFIQ,9,5
TRI HANDAYANI,9,2
HARYANTA,9,9
YOSEP BUTAR BUTAR,9,3
TITIK BUDI WINARTI,9,8
MOCH ICHWANUDIN,9,6
INDRAWAN,9,9
I WAYAN EDY KURNIAWAN,9,6
SUNOTO,9,6
ARRI DJAMI,9,9
I DEWA GEDE BUDHY DHARMA ASMARA,9,8
SUPRAYOGI,9,3
ENI MARTININGRUM,9,8
WIDARTI,9,8
ENDI NURINDRA PUTRA,9,7
DWIANA KUSUMASTANTI,9,6
AGUNG CIPTOADI,9,8
ROSIANI NITI PAWITRI,9,8
SANGKOT LUMBANTOBING,9,9
S. PUJIONO,9,7
AKHMAD FAZRINOOR SOSILO DEWANTORO,9,4
MOCH. ISA NAZARUDIN,9,7
YULIUS CHRISTIAN HANDRATMO,9,6
ALBON DAMANIK,9,6
ANDITA YUNI SANTOSO,9,7
SOBANDI,9,4
JAROT WIDIYATMONO,9,8
GUNTORO EKA SEKTI,9,6
VERONICA SEKAR WIDURI,9,4
RIANA BR POHAN,9,9
RELLY DOMINGGUS BEHUKU,9,6
I MADE ADITYA NUGRAHA,9,4
JAMUJI,9,7
ARIES SHOLEH EFENDI,9,6
MANATA BINSAR TUA SAMOSIR,9,7
BONGBONGAN SILABAN,9,9
Achmad Sugeng Djauhari,9,4
LUCKY ROMBOT KALALO,9,7
R. A. DIDI ISMIATUN,9,6
MAROLOP SIMAMORA,9,5
YUDISTIRA ALFIAN,9,5
IKHA TINA,8,3
BAGUS RADITYA WIRADANA,8,2
IDA AYU SRI ADRIYANTHI AW,8,7
QURAISYIYAH,8,4
TOMMY MANIK,8,5
RISWAN HERAFIANSYAH,8,5
NI KADEK SUSANTIAN,8,8
TAUFAN MANDALA,8,5
SYAMSUDDIN MUNAWIR,8,7
NELSON ANGKAT,8,8
"FITRIA SEPTRIANA,",8,4
SULHANUDDIN,8,5
INDAH NOVI SUSANTI,8,6
RUDY WIBOWO,8,4
MUHAMMAD DJAMIR,8,5
SILFI YANTI ZULFIA,8,6
JULIANTI WATTIMURY,8,5
JHONSON FREDDY ESRON SIRAIT,8,5
HERU SETIYADI,8,8
SALOMO GINTING,8,6
A. A. Gede Susila Putra,8,7
DEDI KUSWARA,8,7
YOEDI ANUGRAH PRATAMA,8,8
YULI ARTHA PUJAYOTAMA,8,4
DAHLAN,8,6
RIMDAN,8,5
HANDRY ARGATAMA ELLION,8,4
ANDRE BUDIMAN PANJAITAN,8,3
ALFIAN,8,7
SAYED KADHIMSYAH,8,5
WINDY RATNA SARI,8,7
HERU DINARTO,8,3
MUHAMMAD TAHIR,8,5
PERELA DE ESPERANZA,8,6
YULANTO PRAFIFTO UTOMO,8,8
YUNITA HENDARWATI,8,8
I GUSTI NGURAH TARUNA W,7,3
IMAM SANTOSO,7,6
BUDIMAN SITORUS,7,7
PANGERAN HOTMA HIO PATRA SIANIPAR,7,6
TIWIK,7,3
LUKMAN NULHAKIM,7,6
GIBSON PARSAORAN,7,6
FRANS KORNELISEN,7,7
ANDI BARKAN MARDIANTO,7,6
TRI DHARMA PUTRA,7,5
SAID HUSEIN,7,6
AFANDI WIDARIJANTO,7,4
KEMAS REYNALD MEI,7,4
JENI NUGRAHA DJULIS,7,7
EZRA SULAIMAN,7,7
SRI HASNAWATI,7,7
SIHAR HAMONANGAN PURBA,7,7
DINAR PAKPAHAN,7,3
HAKLAINUL DUNGGIO,7,7
AIMAFNI ARLI,7,7
JOHN MICHEL LEUWOL,7,3
SOFIAN PARERUNGAN,7,7
HAIRUDDIN TOMU,7,4
ENNY OKTAVIANA,7,4
CHITA CAHYANINGTYAS,7,6
MUHAMMAD HAMBALI,7,6
MARYONO,7,7
REZA APRIADI,7,5
RAMADHANA HERU SANTOSO,7,4
RISKA WIDIANA,7,4
ANDRE JEVI SURYA,7,4
MARTHA MAITIMU,7,7
WAHYU WIDODO,7,6
MOHAMAD ZAKIUDDIN,7,7
AGUS DARMANTO,7,7
BERLINDA URSULA MAYOR,7,2
RANDI JASTIAN AFANDI,7,5
RUSTAM,7,7
ARIEF YUDIARTO,7,6
JESSIE SYLVIA KARTIKA SIRINGO RINGO,7,6
AGUS TRIYANTIO,7,5
PRADITIA DANINDRA,7,6
WIYANTO,7,5
R. MUHAMMAD SYAKRANI,7,7
ESTIONO,7,5
ZEFRI MAYELDO HARAHAP,7,5
ADHLAN FADHILLA AHMAD,7,3
PUTU AGUS WIRANATA,7,7
CHRISTOFFEL HARIANJA,7,7
HENNY TRIMIRA HANDAYANI,7,4
DENIHENDRA St. PANDUKO.,7,2
WILLY MARSAOR,7,3
EDDY DAULATTA SEMBIRING,7,6
M. FAHRI IKHSAN,7,3
RUDI SUPARMONO,7,5
IRWAN MUNIR,6,6
Y. ERSTANTO WINDIOLELONO,6,6
EVALINA BARBARA MELIANA,6,5
HELMIN SOMALAY,6,6
WEDHAYATI,6,2
HENDRI SUMARDI,6,6
LALU MOH. SANDI IRAMAYA,6,5
NOVARINA MANURUNG,6,3
FATHUL MUJIB,6,5
UDUT WIDODO KUSMIRAN NAPITUPULU,6,7
BAMBANG BUDIMURSITO,6,2
TOGA NAPITUPULU,6,6
JUWITA DANINGTYAS,6,2
NASRI,6,6
KARSENA,6,4
FLORENCE KATERINA,6,5
SUTRISNO,6,6
AGUNG BUDI SETIAWAN,6,2
PASKATU HARDINATA,6,5
FADILLAH USMAN,6,2
EVAN SETIAWAN DESE,6,5
IMRON ROSYADI,6,6
ERNI PRILIAWATI,6,5
SUBAI,6,6
ENNIERLIA ARIENTOWATY,6,6
MUHAMAD IQBAL,6,6
SIMON CHARLES PANGIHUTAN SITORUS,6,6
DYAH RATNA PARAMITA,6,5
EDWIN ADRIAN,6,6
DIAN ANGGRAINI,6,5
DENI LIPU,6,3
DHARMA PUTRA SIMBOLON,6,6
DENNIE ARSAN FATRIKA,6,5
DENIHENDRA ST PANDUKO,6,6
AHMAD MAULANA IKBAL,6,2
PUTU GDE NOVYARTHA,6,3
CHAIRIL ANWAR,6,5
NOVA LOURA SASUBE,6,5
RISWAN SUPARTA WINATA,6,5
ARFAN YANI,6,6
SONNY ALFIAN BLEGOER LAOEMOERY,6,6
Abraham Amrullah,6,6
ULINA MARBUN,6,4
I MADE SUKANADA,6,5
NOOR ISWANDI,6,5
ALFAROBI,6,3
HILARIUS GRAHITA SETYA ATMAJA,6,2
NANIK HANDAYANI,6,2
NI MADE OKTIMANDIANI,6,6
DYAH SUTJI IMANI,6,5
NYOTO HINDARYANTO,6,6
MARIANY R. KOROMPOT,6,3
GABRIEL SIALLAGAN,6,4
NUGRAHA MEDICA PRAKASA,6,3
NURNANINGSIH AMRIANI,6,6
R. RUDI KINDARTO,6,6
ADIL HAKIM,6,4
MELINDA ARITONANG,6,4
ASEP KOSWARA,6,5
ARIF BUDI CAHYONO,6,3
ARI GUNAWAN,6,4
MARKHAM FARIED,6,3
ANNISA NOVIYATI,6,6
LUSIANA AMPING,6,6
PARTONO,6,5
JIMMY MARULI,5,4
YOGI DULHADI,5,3
RIYANTI DESIWATI,5,3
YAJID,5,3
OLOAN SILALAHI,5,3
ZAINAL AHMAD,5,4
BARITA SINAGA,5,5
ARIS GUNAWAN,5,4
WASDI PERMANA,5,5
LAURA THERESIA SITUMORANG,5,2
ACHMAD IRFIR ROCHMAN,5,5
ULTRY MEILIZAYENI,5,2
TRI MULYANTO,5,5
HASANUDDIN,5,5
HARRY SURYAWAN,5,4
TAUFAN RACHMADI,5,5
SYOFIA MARLIANTI TAMBUNAN,5,5
GABE DORRIS MORA BORU SARAGIH,5,4
MULYADI,5,3
FIRLANA TRISNILA,5,1
RAMA WIJAYA PUTRA,5,5
FHYTTA IMELDA SIPAYUNG,5,3
FAKHRUDDIN,5,5
SUGIYO MULYOTO,5,3
ERYUSMAN,5,5
ERINTUAH DAMANIK,5,3
EKO JULIANTO,5,3
SLAMET SETIO UTOMO,5,1
DJUANTO,5,4
MOHAMMAD SYAFII,5,2
DINA PELITA ASMARA,5,2
DIKDIK HARYADI,5,4
IVAN BUDI HARTANTO,5,4
JONA AGUSMEN,5,4
SANDI MUHAMAD ALAYUBI,5,5
SAHIDA ARIYANI,5,3
DALYUSRA,5,3
JOHANIS HEHAMONY,5,4
MOCH. NUR AZIZI,5,5
MIRYANTO,5,4
ROSNAINAH,5,5
BUNGA MELUNI HAPSARI,5,4
SORTA RIA NEVA,5,4
TRI RETNANINGSIH,5,5
ANDY WILIAM PERMATA,5,3
JAYADI HUSAIN,5,1
MASRIATI,5,2
ANIK ISTIROCHAH,5,5
WAODE SANGIA,5,5
